Module Name,Test Case Name
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_ProviderHoursEnabledForAnOrganization
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_QueryTheDBForMemberOnboardingStatus
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_QueryTheDBForTheMemberOnboardingStatus
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_QueryTheDBOrTheMembersOnboardingStatus
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_RAActivateNewCSCoachInTheProviderProfile
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_RAApproveAndActivateNewCoachForRAOnly
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_RAApprovingAndActivatingCoachQACoachCS2ForCSSession
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_RACreateAndActivateNewCoachForHBMIGroupSessions
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_RACreateAndActivateNewCoachForRAGroupSesssions
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_RACreateNewCSCoachDoNotActivate
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_RANPDandHBMICustomizationSession
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_RAPAAttemptsToDeactivateACoachToWhomCRIsAssigned
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_RAPACreatesAndApprovesANewCoachForHBMI&RA
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_RAPADeactivatesTheOldCoach
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_ScheduleClassroomGridPagesFiltersControlsAndPagination
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_ScheduledClasses
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_ScheduledClassPostponeAndPrepone
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_UnapprovedClasses
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_UnapprovedClassroomAndIsApprovedFlagIsDb
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_Upcoming_Sessions_Timezone _And_Hyperlinks
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_UpcomingSessionsOfCoachCancelledSessionNotDisplayed
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_ Show RatingPopupDisplaysTheMemberRatingWithOtherDetailsFor1on1CSSessionsWhichAreCompleted
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_ ShowRatingIconDisabledForMissedSessionsForAllSessionTypes
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_ActionIconsVisibleForPARole
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_AllSessionsMenuIsNotVisibleForCoach.xlsx
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_AutoRefreshOfAllGridsEveryOneMinute
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_BrowserHistoryIconUnderPreviousSessionsTabForHFOpsHFAdmin
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_BrowserHistoryIconUnderUpcomingSessionsTabForHFOpsHFAdmin
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_CancelSessionIconIsDisabledForUpcomingGroupAndCustomizationSessions
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_CancelSessionIsDisabledForAllSessionsUnderPreviousTab
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_CoachCalendarOnAccessingShowCalendarIconForAllPreviousSessions
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_ColumnsUnderAllSessions
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_ColumnsUnderPreviousSessions
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_ColumnsUnderUpcomingSessions
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_CompletedSessionsAreListedUnderPreviousSessions
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_FilterUnderAllGrids
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_GridsUnderAllSessions
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_GroupMemberInformationIconDisabledForAllUpcoming1on1AndCustomizationSession
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_GroupMembersInformationIconDisabledForAllPrevious1on1AndCSSessions
/Real Appeal/Program Admin/Classes/AllSessions,RA_PA_GroupMembersInformationIconDisabledForAllUpcoming1On1AndCSSessions
